switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s11,0x100004bee335f,0,40000,507.682,471,64684,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100004bee335f, duration=507.682s, table=0, n_packets=471, n_bytes=64684, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s11,0x100002905bde4,0,40000,507.682,471,64684,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100002905bde4, duration=507.682s, table=0, n_packets=471, n_bytes=64684, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s11,0x1000076d374b6,0,40000,507.682,596,25032,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000076d374b6, duration=507.682s, table=0, n_packets=596, n_bytes=25032, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s11,0x100000e016581,0,5,507.673,30,3718,ip,"CONTROLLER:65535,clear_actions","cookie=0x100000e016581, duration=507.673s, table=0, n_packets=30, n_bytes=3718, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
