snapshot,switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
1,s23,0x10000c9708748,0,40000,565.348,861,118467,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000c9708748, duration=565.348s, table=0, n_packets=861, n_bytes=118467, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s23,0x1000010b772ee,0,5,565.348,42,3684,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000010b772ee, duration=565.348s, table=0, n_packets=42, n_bytes=3684, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s22,0x1000014630975,0,5,565.458,8,784,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000014630975, duration=565.458s, table=0, n_packets=8, n_bytes=784, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s22,0x1000067b644cf,0,40000,565.458,514,70932,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000067b644cf, duration=565.458s, table=0, n_packets=514, n_bytes=70932, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s22,0x100000a0c4527,0,40000,565.458,514,70932,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100000a0c4527, duration=565.458s, table=0, n_packets=514, n_bytes=70932, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s22,0x10000a3857ac5,0,40000,565.458,568,23856,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000a3857ac5, duration=565.458s, table=0, n_packets=568, n_bytes=23856, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s21,0x100007b5d0a73,0,40000,565.590,522,71856,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100007b5d0a73, duration=565.590s, table=0, n_packets=522, n_bytes=71856, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s21,0x100002e59fc21,0,40000,565.590,522,71856,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100002e59fc21, duration=565.590s, table=0, n_packets=522, n_bytes=71856, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s21,0x10000f109afe2,0,5,565.590,67,6446,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000f109afe2, duration=565.590s, table=0, n_packets=67, n_bytes=6446, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s21,0x100006c518465,0,40000,565.590,669,28098,arp,"CONTROLLER:65535,clear_actions","cookie=0x100006c518465, duration=565.590s, table=0, n_packets=669, n_bytes=28098, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s20,0x10000d6e9cd66,0,40000,565.756,259,10878,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000d6e9cd66, duration=565.756s, table=0, n_packets=259, n_bytes=10878, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s20,0x10000b1876a3e,0,40000,565.756,365,50005,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000b1876a3e, duration=565.756s, table=0, n_packets=365, n_bytes=50005, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s20,0x100005eae1f52,0,5,565.756,31,3038,ip,"CONTROLLER:65535,clear_actions","cookie=0x100005eae1f52, duration=565.756s, table=0, n_packets=31, n_bytes=3038, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s20,0x1000047229eef,0,40000,565.756,365,50005,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000047229eef, duration=565.756s, table=0, n_packets=365, n_bytes=50005, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s19,0x1000086aff799,0,40000,565.300,862,36204,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000086aff799, duration=565.300s, table=0, n_packets=862, n_bytes=36204, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s19,0x10000e623b23b,0,40000,565.300,515,70728,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000e623b23b, duration=565.300s, table=0, n_packets=515, n_bytes=70728, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s19,0x1000075c3a8c6,0,40000,565.300,515,70728,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000075c3a8c6, duration=565.300s, table=0, n_packets=515, n_bytes=70728, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s19,0x1000096fe2064,0,5,565.300,173,16954,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000096fe2064, duration=565.300s, table=0, n_packets=173, n_bytes=16954, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s24,0x10000fb79f239,0,5,565.412,22,2012,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000fb79f239, duration=565.412s, table=0, n_packets=22, n_bytes=2012, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s24,0x10000e8f5957c,0,40000,565.412,1027,141375,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000e8f5957c, duration=565.412s, table=0, n_packets=1027, n_bytes=141375, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s24,0x10000fca1ec48,0,40000,565.412,1027,141375,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000fca1ec48, duration=565.412s, table=0, n_packets=1027, n_bytes=141375, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s24,0x1000016ccf6c2,0,40000,565.412,769,32298,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000016ccf6c2, duration=565.412s, table=0, n_packets=769, n_bytes=32298, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s25,0x100009d22fdfb,0,40000,565.335,1202,165355,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100009d22fdfb, duration=565.335s, table=0, n_packets=1202, n_bytes=165355, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s25,0x1000065541b0e,0,40000,565.335,945,39690,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000065541b0e, duration=565.335s, table=0, n_packets=945, n_bytes=39690, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
1,s25,0x10000466fe41a,0,40000,565.335,1202,165355,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000466fe41a, duration=565.335s, table=0, n_packets=1202, n_bytes=165355, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s25,0x1000007b5e5d7,0,5,565.335,18,1572,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000007b5e5d7, duration=565.335s, table=0, n_packets=18, n_bytes=1572, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s26,0x10000bbadc5ee,0,40000,565.169,688,94598,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000bbadc5ee, duration=565.169s, table=0, n_packets=688, n_bytes=94598, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
1,s26,0x1000066a7536d,0,40000,565.169,688,94598,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000066a7536d, duration=565.169s, table=0, n_packets=688, n_bytes=94598, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
1,s26,0x10000944e83fe,0,5,565.169,3,222,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000944e83fe, duration=565.169s, table=0, n_packets=3, n_bytes=222, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
1,s26,0x10000b14e1647,0,40000,565.169,559,23478,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000b14e1647, duration=565.169s, table=0, n_packets=559, n_bytes=23478, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
