switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,588,47986,0,0,3591,95575296,0,0
s24,11,535,44468,0,0,3420,95265226,0,0
s24,10,498,41997,0,0,3413,93467622,0,0
s24,8,483,13556,0,0,14,1076,0,0
s24,9,542,44876,0,0,3492,94390689,0,0
s24,5,1655,181198,0,0,1655,181198,0,0
s24,12,530,44128,0,0,3490,93549785,0,0
s24,14,18,1300,0,0,1539,167134,0,0
s24,1,1682,183696,4,0,9796,418118169,0,0
s24,4,2700,268454,0,0,1657,181474,0,0
s24,6,36828,1717851631,0,0,8751,787680,0,0
s24,7,541,44858,0,0,3516,94799802,0,0
s24,2,1658,180388,0,0,22805,1028564701,0,0
s24,3,21359,700988286,0,0,10815,312076049,0,0
