switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,16,1160,0,0,480,42240,0,0
s24,11,16,1160,0,0,482,42520,0,0
s24,10,16,1160,0,0,484,42800,0,0
s24,8,246,6920,0,0,12,936,0,0
s24,9,16,1160,0,0,484,42576,0,0
s24,5,596,57944,0,0,597,58014,0,0
s24,12,16,1160,0,0,482,42520,0,0
s24,14,16,1160,0,0,480,42240,0,0
s24,1,623,61262,4,0,627,61216,0,0
s24,4,596,57944,0,0,599,58290,0,0
s24,6,6709,317736978,0,0,2886,260030,0,0
s24,7,16,1160,0,0,488,43132,0,0
s24,2,599,57954,0,0,4509,211835192,0,0
s24,3,3121,269900,0,0,2801,105960012,0,0
