switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s14,10,1799,146005,0,0,8272,305534026,0,0
s14,8,483,13556,0,0,14,1076,0,0
s14,9,1370,117617,0,0,7396,299954785,0,0
s14,5,1521,127677,0,0,7452,302878245,0,0
s14,1,30394,1437343217,4,0,13937,1221179,0,0
s14,4,1652,136301,0,0,8367,316422948,0,0
s14,6,1630,134848,0,0,7831,299328116,0,0
s14,7,1648,136034,0,0,8017,306165908,0,0
s14,2,41266,1495527070,4,0,20080,508278283,0,0
s14,3,1619,134162,0,0,7890,301739988,0,0
