snapshot,switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
2,s16,9,630,50768,0,0,2890,103204180,0,0
2,s16,5,3818,104024498,0,0,9102,419473266,0,0
2,s16,12,17,1230,0,0,774,84964,0,0
2,s16,14,17,1230,0,0,772,84684,0,0
2,s16,1,862,95564,4,0,2840,102153290,0,0
2,s16,4,16469,837926295,0,0,5216,455516,0,0
2,s16,6,477,40647,0,0,2753,101474761,0,0
2,s16,7,516,43210,0,0,2662,103924897,0,0
2,s16,2,10353,306432835,4,0,8182,316659492,0,0
2,s16,3,849,94294,0,0,848,94252,0,0
2,s20,5,16,1188,0,0,754,80878,0,0
2,s20,1,10501,517602899,4,0,875,96770,0,0
2,s20,4,16,1188,0,0,756,81156,0,0
2,s20,6,16,1188,0,0,754,80878,0,0
2,s20,7,16,1188,0,0,752,80600,0,0
2,s20,2,860,95860,4,0,10487,517601651,0,0
2,s20,3,16,1188,0,0,756,81156,0,0
2,s21,8,230,6440,0,0,13,1006,0,0
2,s21,9,16,1188,0,0,739,79472,0,0
2,s21,5,17,1230,0,0,743,80028,0,0
2,s21,1,8669,423639316,4,0,10487,308598438,0,0
2,s21,4,17,1230,0,0,745,80306,0,0
2,s21,6,17,1230,0,0,743,80028,0,0
2,s21,7,17,1230,0,0,741,79750,0,0
2,s21,2,847,94026,0,0,692,88188,0,0
2,s21,3,10437,308594092,0,0,8554,423631596,0,0
2,s22,5,16,1188,0,0,736,79152,0,0
2,s22,1,848,94252,4,0,849,94294,0,0
2,s22,4,17,1230,0,0,736,79152,0,0
2,s22,6,16,1188,0,0,734,78874,0,0
2,s22,7,16,1188,0,0,732,78596,0,0
2,s22,2,857,94278,0,0,842,93424,0,0
2,s22,3,838,93256,0,0,626,84576,0,0
2,s23,4,229,6412,0,0,13,1006,0,0
2,s23,1,35534,1769187407,4,0,9957,850731,0,0
2,s23,5,4019,357280,4,0,612,83472,0,0
2,s23,2,5216,455516,4,0,16469,837926295,0,0
2,s23,3,8554,423631596,4,0,10437,308594092,0,0
2,s24,13,16,1188,0,0,726,78048,0,0
2,s24,11,16,1188,0,0,728,78328,0,0
2,s24,10,17,1230,0,0,730,78608,0,0
2,s24,8,231,6468,0,0,13,1006,0,0
2,s24,9,16,1188,0,0,732,78402,0,0
2,s24,5,808,91836,0,0,644,84724,0,0
2,s24,12,16,1188,0,0,728,78328,0,0
2,s24,14,16,1188,0,0,726,78048,0,0
2,s24,1,866,95954,4,0,866,95732,0,0
2,s24,4,662,86120,0,0,817,92182,0,0
2,s24,6,612,83472,0,0,4019,357280,0,0
2,s24,7,16,1188,0,0,734,78680,0,0
2,s24,2,2841,260977,0,0,842,92634,0,0
2,s24,3,2008,188367,0,0,847,93598,0,0
2,s25,10,998,84283,0,0,4581,211946092,0,0
2,s25,8,230,6440,0,0,13,1006,0,0
2,s25,9,1205,97989,0,0,4589,211858658,0,0
2,s25,5,628,84852,4,0,838,93256,0,0
2,s25,1,1375,138309,4,0,2929,103041975,0,0
2,s25,4,848,94060,4,0,845,93742,0,0
2,s25,6,807,91006,0,0,646,84212,0,0
2,s25,7,8658,418652844,0,0,7019,207736544,0,0
2,s25,2,857,94626,4,0,856,94552,0,0
2,s25,3,9102,419473266,4,0,3818,104024498,0,0
2,s26,4,230,6440,0,0,13,1006,0,0
2,s26,1,1345,136377,4,0,863,95416,0,0
2,s26,2,634,85840,8,0,844,94468,0,0
2,s26,3,832,92052,0,0,4420,211844091,0,0
3,s2,6,77251,3914532435,0,0,21430,1805660,0,0
3,s2,4,322,9016,0,0,14,1076,0,0
3,s2,1,5182,462246,0,0,35620,1747460044,0,0
3,s2,5,15796,732429938,4,0,12327,193720525,0,0
3,s2,2,14985,720808855,0,0,1231,138260,0,0
3,s2,3,25322,809449429,0,0,17479,823933538,0,0
3,s1,1,8392,728796,0,0,10487,504939740,0,0
3,s1,2,19250,1636329,0,0,73201,3479978390,0,0
3,s1,3,77024,3984284393,0,0,21736,1835044,0,0
3,s3,1,4538,410494,0,0,15593,685561803,0,0
3,s3,2,17418,1487239,4,0,60385,3047640923,0,0
3,s3,3,73847,3732942116,0,0,20582,1740737,0,0
3,s0,1,1246,139170,0,0,14999,720810103,0,0
3,s0,2,20214,1717174,4,0,60467,2980913757,0,0
3,s0,3,73331,3701463462,0,0,20091,1700128,0,0
3,s7,4,319,8932,0,0,14,1076,0,0
3,s7,1,1231,136602,0,0,6731,309089603,0,0
3,s7,5,1220,135898,4,0,1219,135856,0,0
3,s7,2,2722,263173,0,0,1231,137500,0,0
3,s7,3,7051,309103973,0,0,2724,263289,0,0
3,s4,8,319,8964,0,0,14,1076,0,0
3,s4,5,1590,132249,0,0,6889,313718070,0,0
3,s4,1,7034,309102893,0,0,19202,926086486,0,0
3,s4,4,34629,1760330434,4,0,5818,520786,0,0
3,s4,6,1527,128069,0,0,6822,317772837,0,0
3,s4,7,1511,127001,0,0,6774,308992230,0,0
3,s4,2,1237,138132,0,0,1237,138354,0,0
3,s4,3,1436,166676,4,0,2859,271894,0,0
3,s6,13,1690,138813,0,0,7243,314898603,0,0
3,s6,11,1560,130230,0,0,7273,317801988,0,0
3,s6,10,17,1258,0,0,1202,133972,0,0
3,s6,8,319,8932,0,0,14,1076,0,0
3,s6,9,4706,211882921,4,0,1199,134256,0,0
3,s6,5,1230,136404,4,0,2732,262716,0,0
3,s6,12,1576,131294,0,0,7111,317793519,0,0
3,s6,14,1516,127326,0,0,6774,317768145,0,0
3,s6,1,19202,926086486,4,0,7034,309102893,0,0
3,s6,4,6731,309089603,4,0,1231,136602,0,0
3,s6,6,16476,729128250,4,0,8829,293791595,0,0
3,s6,7,1213,135034,4,0,6042,535508,0,0
3,s6,2,929,125006,0,0,1222,137312,0,0
3,s6,3,1084,131694,0,0,7329,305471366,0,0
3,s5,11,17,1258,0,0,1199,134038,0,0
3,s5,10,498,41992,0,0,3119,93874961,0,0
3,s5,8,317,8876,0,0,14,1076,0,0
3,s5,9,536,44554,0,0,3075,99387868,0,0
3,s5,5,7057,299126449,0,0,2735,264152,0,0
3,s5,1,2859,271894,0,0,1436,166676,0,0
3,s5,4,3211,102195690,0,0,1233,137964,0,0
3,s5,6,1234,137816,0,0,3349,313718,0,0
3,s5,7,1008,84676,0,0,5153,199867973,0,0
3,s5,2,5189,192871649,0,0,1757,180777,0,0
3,s5,3,1236,138090,0,0,1233,137964,0,0
3,s8,4,318,8904,0,0,14,1076,0,0
3,s8,1,1757,180777,4,0,5189,192871649,0,0
3,s8,5,4375,399247,4,0,19178,938410313,0,0
3,s8,2,32910,1408325801,0,0,9107,793692,0,0
3,s8,3,12945,422785518,0,0,20984,699824047,0,0
3,s9,8,320,8992,0,0,14,1076,0,0
3,s9,5,38055,1813339840,4,0,10947,943522,0,0
3,s9,1,2732,262716,0,0,1230,136404,0,0
3,s9,4,1227,136952,0,0,1228,137026,0,0
3,s9,6,5467,208344768,4,0,1222,136204,0,0
3,s9,7,1529,128206,0,0,7188,314217661,0,0
3,s9,2,1229,136330,0,0,1230,136404,0,0
3,s9,3,8207,106445120,0,0,31408,1495608275,0,0
3,s10,8,318,8904,0,0,14,1076,0,0
3,s10,9,1703,139723,0,0,7502,317827353,0,0
3,s10,5,1220,136784,4,0,1218,136700,0,0
3,s10,1,1233,137964,4,0,1236,138090,0,0
3,s10,4,19202,847416641,0,0,2955,279202,0,0
3,s10,6,3340,106032908,4,0,3486,322310,0,0
3,s10,7,1509,126949,0,0,7139,317799294,0,0
3,s10,2,1222,137312,4,0,929,125006,0,0
3,s10,3,908,123554,0,0,3697,345458,0,0
3,s11,6,1406,120024,0,0,6935,307667481,0,0
3,s11,4,318,8904,0,0,14,1076,0,0
3,s11,1,1231,137500,4,0,2722,263173,0,0
3,s11,5,1699,139481,0,0,7077,316575967,0,0
3,s11,2,19178,938410313,0,0,4375,399247,0,0
3,s11,3,1212,137024,0,0,920,124952,0,0
3,s13,10,1025,85933,0,0,5271,206225030,0,0
3,s13,8,319,8932,0,0,14,1076,0,0
3,s13,9,1134,93054,0,0,5329,210436455,0,0
3,s13,5,45350,2146731914,0,0,16068,188419983,0,0
3,s13,1,35620,1747460044,4,0,5182,462246,0,0
3,s13,4,7544,663939,0,0,37911,1848051788,0,0
3,s13,6,1529,128206,0,0,6850,308729645,0,0
3,s13,7,1244,100370,0,0,5404,203377143,0,0
3,s13,2,15593,685561803,4,0,4538,410494,0,0
3,s13,3,9107,793692,4,0,32910,1408325801,0,0
3,s12,13,1500,126362,0,0,7192,308707603,0,0
3,s12,11,1581,131681,0,0,7185,315343608,0,0
3,s12,10,1628,134819,0,0,7189,310004415,0,0
3,s12,8,321,9020,0,0,14,1076,0,0
3,s12,9,1650,136194,0,0,7351,313531691,0,0
3,s12,5,10947,943522,0,0,38055,1813339840,0,0
3,s12,12,1531,128403,0,0,7345,313450818,0,0
3,s12,14,1539,129099,0,0,7137,309948423,0,0
3,s12,1,2724,263289,4,0,7051,309103973,0,0
3,s12,4,60385,3047640923,0,0,17418,1487239,0,0
3,s12,6,14626,309115413,4,0,28977,1408434885,0,0
3,s12,7,3326,311348,4,0,5017,211897083,0,0
3,s12,2,2955,279202,4,0,19202,847416641,0,0
3,s12,3,68339,3412164295,0,0,16481,1408231,0,0
3,s14,10,1055,87817,0,0,4895,199947990,0,0
3,s14,8,320,8992,0,0,14,1076,0,0
3,s14,9,1115,91780,0,0,5172,202218811,0,0
3,s14,5,1141,93596,0,0,5248,205883605,0,0
3,s14,1,10487,504939740,4,0,8392,728796,0,0
3,s14,4,1169,95392,0,0,5269,204361766,0,0
3,s14,6,1049,87517,0,0,5181,205046934,0,0
3,s14,7,1132,92905,0,0,5486,201405454,0,0
3,s14,2,31185,1421317975,4,0,9695,299545012,0,0
3,s14,3,1076,89189,0,0,5055,203192038,0,0
3,s15,8,319,8932,0,0,14,1076,0,0
3,s15,9,1161,94827,0,0,5476,203159810,0,0
3,s15,5,1016,85293,0,0,5145,198944591,0,0
3,s15,1,37911,1848051788,8,0,7544,663939,0,0
3,s15,4,1158,94620,0,0,5363,202374598,0,0
3,s15,6,953,81105,0,0,5220,204182624,0,0
3,s15,7,1095,90513,0,0,5049,192891349,0,0
3,s15,2,8829,293791595,0,0,16476,729128250,0,0
3,s15,3,1222,136204,0,0,5467,208344768,0,0
3,s16,13,603,48921,0,0,3246,99945183,0,0
3,s16,11,519,43409,0,0,3109,97524070,0,0
3,s16,10,447,38646,0,0,3028,99916966,0,0
3,s16,8,317,8876,0,0,14,1076,0,0
3,s16,9,1228,99279,0,0,5251,204020289,0,0
3,s16,5,10201,403529614,0,0,12996,520545189,0,0
3,s16,12,592,48276,0,0,3086,93639359,0,0
3,s16,14,603,48940,0,0,3197,97376229,0,0
3,s16,1,1233,137964,4,0,3211,102195690,0,0
3,s16,4,25062,1239061583,0,0,8807,765260,0,0
3,s16,6,1003,84449,0,0,5205,200079478,0,0
3,s16,7,1088,89987,0,0,5117,202683756,0,0
3,s16,2,20984,699824047,4,0,12945,422785518,0,0
3,s16,3,1220,136976,0,0,1219,136934,0,0
3,s17,13,480,40871,0,0,3131,97014065,0,0
3,s17,11,514,43091,0,0,3134,98539230,0,0
3,s17,10,555,45756,0,0,3217,98311404,0,0
3,s17,8,319,8932,0,0,14,1076,0,0
3,s17,9,575,47123,0,0,3083,96221655,0,0
3,s17,5,1213,136106,4,0,1228,136960,0,0
3,s17,12,583,47674,0,0,3131,93269142,0,0
