snapshot_idx,ts_epoch,cpu_pct,ram_used_bytes,disk_read_bytes,disk_write_bytes
1,1767643407.4958751,98.476,7853449216,0,288956416
1,1767643413.9358523,29.814,6879772672,0,669548544
1,1767643419.867696,2.467,6877159424,0,477102080
1,1767643424.8716078,3.058,6876422144,0,524959744
1,1767643429.8756042,2.836,6875377664,0,486744064
1,1767643434.8810663,2.857,6874656768,0,459653120
1,1767643439.8836396,2.393,6873718784,0,404447232
1,1767643444.8899388,2.068,6873165824,0,425508864
1,1767643449.8962238,2.425,6872576000,0,437002240
1,1767643454.9009461,3.139,6872051712,0,452386816
1,1767643459.907328,2.405,6871879680,0,344604672
1,1767643464.9117017,3.071,6872477696,0,453476352
1,1767643469.914786,2.249,6872707072,0,425877504
1,1767643474.9211373,2.246,6872391680,0,446365696
1,1767643480.0345216,2.744,6872363008,0,107929600
1,1767643485.04088,1.943,6872305664,0,262144
1,1767643490.047159,2.103,6872764416,0,155648
1,1767643495.0516207,1.880,6872506368,0,188416
1,1767643500.0551207,2.320,6872506368,0,139264
1,1767643505.0596707,2.057,6872502272,0,253952
1,1767643510.0659213,1.922,6872502272,0,548864
1,1767643515.071572,2.081,6868508672,0,180224
1,1767643520.0756094,2.103,6868631552,0,229376
1,1767643525.0795584,2.199,6868623360,0,335872
1,1767643530.0858026,2.147,6868099072,0,114688
1,1767643535.0920298,1.778,6868488192,0,221184
1,1767643540.098257,2.399,6868451328,0,155648
1,1767643545.104486,1.841,6868193280,0,172032
1,1767643550.1082833,2.046,6804492288,0,172032
1,1767643555.1123655,2.037,6805065728,0,172032
1,1767643560.1155846,2.122,6805098496,0,114688
1,1767643565.12185,2.140,6805045248,0,196608
1,1767643570.128102,1.984,6805008384,0,131072
1,1767643575.1343362,1.720,6805008384,0,98304
1,1767643580.1395946,2.083,6805463040,0,204800
1,1767643585.1458373,1.960,6805147648,0,204800
1,1767643590.1516733,1.902,6805106688,0,114688
1,1767643595.1538694,2.126,6805102592,0,196608
1,1767643600.159561,2.204,6805102592,0,196608
1,1767643605.1658363,1.939,6804635648,0,172032
1,1767643610.1701446,2.100,6804709376,0,172032
1,1767643615.1755853,1.998,6804709376,0,98304
1,1767643620.1795824,2.321,6804709376,0,196608
1,1767643625.1858494,1.877,6804779008,0,131072
1,1767643630.1915712,2.144,6804742144,0,114688
1,1767643635.197882,1.839,6804934656,0,204800
1,1767643640.2041202,2.222,6786187264,0,147456
1,1767643645.2103806,2.137,6786363392,0,98304
1,1767643650.2158518,2.124,6785802240,0,172032
1,1767643655.222175,1.878,6786129920,0,122880
1,1767643660.2284927,2.580,6786285568,0,114688
1,1767643665.2316027,2.404,6786441216,0,155648
1,1767643670.2379599,2.340,6759391232,0,98304
1,1767643675.243632,1.900,6746587136,0,204800
1,1767643680.247662,1.965,6746505216,0,212992
1,1767643685.2516358,1.942,6746316800,0,90112
1,1767643690.2555652,1.942,6746624000,0,147456
1,1767643695.2596946,2.533,6670938112,0,188416
1,1767643700.2664046,3.595,6509219840,0,90112
1,1767643705.271629,2.584,6442954752,0,221184
2,1767643809.511603,98.478,9104297984,0,107454464
2,1767643814.5155373,97.345,8254963712,0,521052160
2,1767643819.521848,30.588,7110598656,0,409247744
2,1767643824.650455,2.292,7110823936,0,433152000
2,1767643830.415922,2.811,7110819840,0,539541504
2,1767643835.4194794,3.764,7110815744,0,429441024
2,1767643841.1317818,2.532,7110815744,0,519135232
2,1767643846.1355655,1.946,7110811648,0,483033088
2,1767643851.5398161,2.451,7110553600,0,494559232
2,1767643856.5435662,2.221,7110553600,0,440295424
2,1767643861.5836837,2.647,7110545408,0,436379648
2,1767643866.587985,2.419,7110512640,0,430473216
2,1767643871.5916266,2.482,7110508544,0,430342144
