snapshot_idx,interface,frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
3,s0ds0,1767119197.991971000,74,192.168.0.6,192.168.0.1,,,TCP,59880,80,0x0002,0,,,,
3,s0ds0,1767119197.992054000,74,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0012,0,,,,
3,s0ds0,1767119198.065705000,66,192.168.0.6,192.168.0.1,,,TCP,59880,80,0x0010,0,,,,
3,s0ds0,1767119198.066677000,372,192.168.0.6,192.168.0.1,,,HTTP/JSON,59880,80,0x0018,0,,,,
3,s0ds0,1767119198.066693000,66,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0010,0,,,,
3,s0ds0,1767119198.067559000,287,192.168.0.1,192.168.0.6,,,HTTP/JSON,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.092529000,66,192.168.0.6,192.168.0.1,,,TCP,59880,80,0x0010,0,,,,
3,s0ds0,1767119198.093108000,251,192.168.0.6,192.168.0.1,,,HTTP,59880,80,0x0018,0,,,,
3,s0ds0,1767119198.097288000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.097373000,1266,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.097437000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.097478000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.097498000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.097520000,1514,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0010,0,,,,
3,s0ds0,1767119198.097734000,66,192.168.0.6,192.168.0.1,,,TCP,59880,80,0x0010,0,,,,
3,s0ds0,1767119198.097754000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.097775000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.097934000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098034000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098061000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098086000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098106000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098125000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098148000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098168000,2962,192.168.0.1,192.168.0.6,,,TCP,80,59880,0x0018,0,,,,
3,s0ds0,1767119198.098192000,66,192.168.0.6,192.168.0.1,,,TCP,59880,80,0x0010,0,,,,
3,s0ds0,1767119198.098291000,66,192.168.0.6,192.168.0.1,,,TCP,59880,80,0x0010,0,,,,
