switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,1540,128863,0,0,7372,317780381,0,0
s6,11,538,44313,0,0,3139,105711524,0,0
s6,10,549,45418,0,0,3071,96371955,0,0
s6,8,615,17862,0,0,13,1006,0,0
s6,9,493,65816,4,0,2083,174955,0,0
s6,5,17748,838447726,4,0,606,71912,0,0
s6,12,1583,131743,0,0,7438,317787612,0,0
s6,14,1933,164212,0,0,8913,415109550,0,0
s6,1,6812,202448692,4,0,11255,509505256,0,0
s6,4,1129,94781,4,0,1119,94192,0,0
s6,6,8905,212187619,4,0,16068,714544162,0,0
s6,7,1119,93162,4,0,5807,484812,0,0
s6,2,10689,509481022,0,0,7684,648234,0,0
s6,3,16052,714544577,0,0,1152,96226,0,0
