switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s2,0x100008d8246d2,0,40000,202.665,130,17680,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100008d8246d2, duration=202.665s, table=0, n_packets=130, n_bytes=17680, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s2,0x1000079f27f26,0,5,202.665,4,296,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000079f27f26, duration=202.665s, table=0, n_packets=4, n_bytes=296, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s2,0x100007bd0d943,0,40000,202.664,7,294,arp,"CONTROLLER:65535,clear_actions","cookie=0x100007bd0d943, duration=202.664s, table=0, n_packets=7, n_bytes=294, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s2,0x10000e2d94195,0,40000,202.664,130,17680,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000e2d94195, duration=202.664s, table=0, n_packets=130, n_bytes=17680, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s2,0x210000b8e3faac,0,10,1.889,549,38992,"in_port=3,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98",output:1,"cookie=0x210000b8e3faac, duration=1.889s, table=0, n_packets=549, n_bytes=38992, send_flow_rem priority=10,in_port=3,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98 actions=output:1"
s2,0x210000a5ab5d84,0,10,1.884,1516,90852816,"in_port=1,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92",output:3,"cookie=0x210000a5ab5d84, duration=1.884s, table=0, n_packets=1516, n_bytes=90852816, send_flow_rem priority=10,in_port=1,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92 actions=output:3"
