switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s1,0x1000055583384,0,40000,19.605,9,378,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000055583384, duration=19.605s, table=0, n_packets=9, n_bytes=378, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s1,0x100008a610ea4,0,40000,19.605,13,1768,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100008a610ea4, duration=19.605s, table=0, n_packets=13, n_bytes=1768, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s1,0x10000cd1d0fdc,0,5,19.605,4,392,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000cd1d0fdc, duration=19.605s, table=0, n_packets=4, n_bytes=392, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s1,0x10000bd657b62,0,40000,19.605,13,1768,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000bd657b62, duration=19.605s, table=0, n_packets=13, n_bytes=1768, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s1,0x210000aa96f239,0,10,5.849,0,0,"in_port=2,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98",output:1,"cookie=0x210000aa96f239, duration=5.849s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98 actions=output:1"
s1,0x2100003a6df426,0,10,3.898,9,882,"in_port=3,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98",output:1,"cookie=0x2100003a6df426, duration=3.898s, table=0, n_packets=9, n_bytes=882, send_flow_rem priority=10,in_port=3,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98 actions=output:1"
s1,0x2100004f14be78,0,10,3.894,9,882,"in_port=1,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c",output:3,"cookie=0x2100004f14be78, duration=3.894s, table=0, n_packets=9, n_bytes=882, send_flow_rem priority=10,in_port=1,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c actions=output:3"
