OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x210000d8e5f25d, duration=3.172s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=ce:e9:83:b9:56:22,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000c03a3da3, duration=3.163s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=b6:11:2d:08:18:b2 actions=output:3
 cookie=0x210000241e9ae7, duration=3.156s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=ae:8e:74:7b:6f:5f actions=output:2
 cookie=0x210000efe82b88, duration=3.154s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=0e:60:85:9c:ad:4a,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000e19e8171, duration=3.150s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=22:3f:13:00:5d:e6,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000c5cba44e, duration=3.147s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=16:eb:27:d7:fe:26,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000430db48c, duration=3.147s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=e6:db:c8:2c:88:68 actions=output:2
 cookie=0x210000ebaecdc1, duration=3.147s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=6e:74:74:f7:3b:58,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x21000038049e70, duration=3.147s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=76:02:23:33:e6:0f,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000941be439, duration=3.145s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=ba:49:99:a5:c2:bd actions=output:1
 cookie=0x21000051ccffeb, duration=3.141s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=fa:f5:fa:f8:1e:a4 actions=output:3
 cookie=0x210000301d8367, duration=3.139s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=5a:4a:03:aa:8d:8c actions=output:1
 cookie=0x21000044410aae, duration=3.128s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=8a:3f:67:be:1c:f3 actions=output:1
 cookie=0x210000d276209d, duration=3.119s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=ca:b4:19:af:3b:b5 actions=output:3
 cookie=0x2100001c73e5c6, duration=3.117s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=66:ab:5f:f0:f3:92 actions=output:3
 cookie=0x210000c37ae6c4, duration=3.112s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=a2:8b:5f:22:38:58 actions=output:3
 cookie=0x210000da60e877, duration=3.105s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=3,dl_src=ce:50:6b:03:23:69,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000f50c9011, duration=3.104s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=8e:7f:7e:4a:20:01,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x210000c55b0508, duration=3.102s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=ce:e9:83:b9:56:22 actions=output:2
 cookie=0x21000013c093c6, duration=3.098s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=f2:8b:97:b5:a4:38,dl_dst=0a:5d:b0:51:a7:84 actions=output:5
 cookie=0x2100005eaec03e, duration=3.097s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=0e:60:85:9c:ad:4a actions=output:3
 cookie=0x2100001aadeb7a, duration=3.093s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=22:3f:13:00:5d:e6 actions=output:3
 cookie=0x21000061b219b1, duration=3.086s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=6e:74:74:f7:3b:58 actions=output:3
 cookie=0x2100006d1f487f, duration=3.081s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=76:02:23:33:e6:0f actions=output:2
 cookie=0x210000b22cedc9, duration=3.081s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=ce:50:6b:03:23:69 actions=output:3
 cookie=0x2100005f0c3121, duration=3.078s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=16:eb:27:d7:fe:26 actions=output:3
 cookie=0x2100008a2af2cd, duration=3.067s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=f2:8b:97:b5:a4:38 actions=output:1
 cookie=0x2100002b27eccb, duration=3.066s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=8e:7f:7e:4a:20:01 actions=output:2
