switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s17,13,11,866,0,0,206,23030,0,0
s17,11,11,866,0,0,208,23310,0,0
s17,10,11,866,0,0,208,23310,0,0
s17,8,57,2046,0,0,12,936,0,0
s17,9,11,866,0,0,210,23448,0,0
s17,5,291,34297,4,0,287,33864,0,0
s17,12,11,866,0,0,206,23030,0,0
s17,1,299,34859,0,0,301,35409,0,0
s17,4,296,34475,4,0,287,33864,0,0
s17,6,291,33904,8,0,285,33396,0,0
s17,7,11,866,0,0,212,23726,0,0
s17,2,286,33628,0,0,294,34382,0,0
s17,3,293,34573,0,0,234,31380,0,0
