frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
"1764689299.818667000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689299.818736000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689300.017499000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689300.017514000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689300.218845000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689300.218859000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689300.422974000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689300.423003000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689300.626839000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689300.626853000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689300.830881000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689300.830909000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689301.034836000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689301.034849000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689301.238838000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689301.238852000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689301.442854000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689301.442873000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689301.646840000","98","192.168.0.2","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689301.646855000","98","192.168.0.1","192.168.0.2",,,"ICMP",,,,,"0","0",,
"1764689301.795457000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689301.795520000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689301.989883000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689301.989909000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689302.190841000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689302.190855000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689302.394844000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689302.394858000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689302.598841000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689302.598855000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689302.802865000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689302.802881000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689303.006855000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689303.006881000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689303.210846000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689303.210862000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689303.414848000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689303.414864000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689303.618841000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689303.618856000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689303.768015000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689303.768098000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689303.962625000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689303.962643000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689304.166866000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689304.166886000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689304.370841000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689304.370855000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689304.574848000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689304.574861000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689304.778841000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689304.778855000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689304.982847000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689304.982862000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689305.186836000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689305.186850000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689305.390840000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689305.390854000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
"1764689305.594836000","98","192.168.0.4","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689305.594849000","98","192.168.0.1","192.168.0.4",,,"ICMP",,,,,"0","0",,
