switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s5,0x10000f8c7680e,0,5,1842.594,43,3446,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000f8c7680e, duration=1842.594s, table=0, n_packets=43, n_bytes=3446, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s5,0x10000451e5393,0,40000,1842.594,3543,484209,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000451e5393, duration=1842.594s, table=0, n_packets=3543, n_bytes=484209, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s5,0x1000010a7a934,0,40000,1842.594,3543,484209,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000010a7a934, duration=1842.594s, table=0, n_packets=3543, n_bytes=484209, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s5,0x1000091d4b2ad,0,40000,1842.594,1480,62160,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000091d4b2ad, duration=1842.594s, table=0, n_packets=1480, n_bytes=62160, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
