frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
"1765235930.974076000","74","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0002","0",,,,
"1765235931.214729000","74","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0002","0",,,,
"1765235932.170661000","74","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0012","0",,,,
"1765235932.170739000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235932.171347000","372","192.168.0.88","192.168.0.4",,,"HTTP/JSON","49222","80","0x0018","0",,,,
"1765235932.580345000","66","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0010","0",,,,
"1765235933.194779000","288","192.168.0.4","192.168.0.88",,,"HTTP/JSON","80","49222","0x0018","0",,,,
"1765235933.194812000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235933.195424000","251","192.168.0.88","192.168.0.4",,,"HTTP","49222","80","0x0018","0",,,,
"1765235933.238803000","66","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0010","0",,,,
"1765235933.366970000","288","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235933.366996000","78","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235933.367164000","74","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0012","0",,,,
"1765235933.367192000","78","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.128967000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.129024000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.129068000","1266","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.129077000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136016000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136048000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136115000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136127000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136152000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136161000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136199000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136213000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136232000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136240000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136561000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136596000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136629000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136636000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136654000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136662000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136680000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
"1765235934.136690000","66","192.168.0.88","192.168.0.4",,,"TCP","49222","80","0x0010","0",,,,
"1765235934.136708000","2962","192.168.0.4","192.168.0.88",,,"TCP","80","49222","0x0018","0",,,,
