switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,17,1230,0,0,788,81272,0,0
s24,11,17,1230,0,0,790,81552,0,0
s24,10,17,1230,0,0,792,81832,0,0
s24,8,287,8068,0,0,13,1006,0,0
s24,9,17,1230,0,0,792,81342,0,0
s24,5,904,96444,0,0,904,96444,0,0
s24,12,17,1230,0,0,790,81552,0,0
s24,14,17,1230,0,0,788,81272,0,0
s24,1,929,99222,4,0,9046,418034039,0,0
s24,4,904,96444,0,0,906,96720,0,0
s24,6,15245,726423606,0,0,4348,393878,0,0
s24,7,17,1230,0,0,796,81898,0,0
s24,2,905,95914,0,0,13045,620521554,0,0
s24,3,12735,418340059,0,0,3108,105998442,0,0
