switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s13,10,1627,134687,0,0,7154,294669907,0,0
s13,8,606,17064,0,0,13,1006,0,0
s13,9,1489,125569,0,0,7161,310130479,0,0
s13,5,2178,182900,0,0,5334,200179835,0,0
s13,1,40950,1902092304,4,0,13230,1102960,0,0
s13,4,5280,442290,0,0,21087,1039926800,0,0
s13,6,2059,172274,0,0,9465,404226274,0,0
s13,7,515,42857,0,0,2994,97390758,0,0
s13,2,39211,1849335673,4,0,12482,1039869,0,0
s13,3,10572,875095,4,0,23948,1104444714,0,0
