switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s14,1,90,11756,4,0,91,11826,0,0
s14,2,68,8800,4,0,68,8800,0,0
s14,3,9,726,0,0,43,5452,0,0
