switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s1,0x100009720bf42,0,40000,138.276,5,210,arp,"CONTROLLER:65535,clear_actions","cookie=0x100009720bf42, duration=138.276s, table=0, n_packets=5, n_bytes=210, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s1,0x100001efe188b,0,5,138.276,2,196,ip,"CONTROLLER:65535,clear_actions","cookie=0x100001efe188b, duration=138.276s, table=0, n_packets=2, n_bytes=196, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s1,0x1000087d5d4b9,0,40000,138.275,89,12104,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000087d5d4b9, duration=138.275s, table=0, n_packets=89, n_bytes=12104, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s1,0x1000048ed64da,0,40000,138.275,89,12104,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000048ed64da, duration=138.275s, table=0, n_packets=89, n_bytes=12104, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s1,0x21000093801054,0,10,20.118,19,1862,"in_port=1,dl_src=c6:64:9f:95:aa:bd,dl_dst=5a:4a:03:aa:8d:8c",output:3,"cookie=0x21000093801054, duration=20.118s, table=0, n_packets=19, n_bytes=1862, send_flow_rem priority=10,in_port=1,dl_src=c6:64:9f:95:aa:bd,dl_dst=5a:4a:03:aa:8d:8c actions=output:3"
s1,0x210000cdf21990,0,10,20.118,19,1862,"in_port=3,dl_src=5a:4a:03:aa:8d:8c,dl_dst=c6:64:9f:95:aa:bd",output:1,"cookie=0x210000cdf21990, duration=20.118s, table=0, n_packets=19, n_bytes=1862, send_flow_rem priority=10,in_port=3,dl_src=5a:4a:03:aa:8d:8c,dl_dst=c6:64:9f:95:aa:bd actions=output:1"
