snapshot,switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
4,s6,0x10000069366e3,0,5,1847.953,83,6718,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000069366e3, duration=1847.953s, table=0, n_packets=83, n_bytes=6718, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
4,s6,0x10000dd66b89f,0,40000,1847.952,5280,721588,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000dd66b89f, duration=1847.952s, table=0, n_packets=5280, n_bytes=721588, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
4,s6,0x10000e1bd7c7d,0,40000,1847.952,5280,721588,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000e1bd7c7d, duration=1847.952s, table=0, n_packets=5280, n_bytes=721588, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
4,s6,0x100001b87f302,0,40000,1847.952,1504,63168,arp,"CONTROLLER:65535,clear_actions","cookie=0x100001b87f302, duration=1847.952s, table=0, n_packets=1504, n_bytes=63168, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
4,s7,0x10000276a2656,0,40000,1847.945,2946,402422,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000276a2656, duration=1847.945s, table=0, n_packets=2946, n_bytes=402422, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
4,s7,0x10000ef19dda8,0,40000,1847.944,2374,99708,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000ef19dda8, duration=1847.944s, table=0, n_packets=2374, n_bytes=99708, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
4,s7,0x100001044f163,0,40000,1847.944,2946,402422,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100001044f163, duration=1847.944s, table=0, n_packets=2946, n_bytes=402422, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
4,s7,0x100007db69e56,0,5,1847.944,11,814,ip,"CONTROLLER:65535,clear_actions","cookie=0x100007db69e56, duration=1847.944s, table=0, n_packets=11, n_bytes=814, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
4,s2,0x10000ec3c50fc,0,40000,1848.142,2952,404424,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000ec3c50fc, duration=1848.142s, table=0, n_packets=2952, n_bytes=404424, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
4,s2,0x10000a5b43eac,0,40000,1848.133,1722,72324,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000a5b43eac, duration=1848.133s, table=0, n_packets=1722, n_bytes=72324, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
4,s2,0x100009cae6dcd,0,5,1848.133,335,27102,ip,"CONTROLLER:65535,clear_actions","cookie=0x100009cae6dcd, duration=1848.133s, table=0, n_packets=335, n_bytes=27102, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
4,s2,0x10000cf045c27,0,40000,1848.133,2952,404424,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000cf045c27, duration=1848.133s, table=0, n_packets=2952, n_bytes=404424, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
4,s4,0x10000233b88f5,0,40000,1848.125,1477,62034,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000233b88f5, duration=1848.125s, table=0, n_packets=1477, n_bytes=62034, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
4,s4,0x1000099167fb1,0,5,1848.119,61,4980,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000099167fb1, duration=1848.119s, table=0, n_packets=61, n_bytes=4980, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
4,s4,0x1000039825a9a,0,40000,1848.116,2360,322134,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000039825a9a, duration=1848.116s, table=0, n_packets=2360, n_bytes=322134, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
4,s4,0x10000eacb980c,0,40000,1848.115,2360,322134,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000eacb980c, duration=1848.115s, table=0, n_packets=2360, n_bytes=322134, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
4,s1,0x1000049ccf504,0,5,1848.120,201,15050,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000049ccf504, duration=1848.120s, table=0, n_packets=201, n_bytes=15050, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
4,s1,0x10000358fc2a1,0,40000,1848.120,1038,43596,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000358fc2a1, duration=1848.120s, table=0, n_packets=1038, n_bytes=43596, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
4,s1,0x10000b474f87c,0,40000,1848.120,1190,163030,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000b474f87c, duration=1848.120s, table=0, n_packets=1190, n_bytes=163030, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
