switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s17,13,1046,87250,0,0,5034,198050896,0,0
s17,11,25,1510,0,0,1008,82314,0,0
s17,10,25,1510,0,0,1008,82314,0,0
s17,8,609,17566,0,0,13,1006,0,0
s17,9,425,37095,0,0,2832,101868922,0,0
s17,5,2754,229610,4,0,7209,293062681,0,0
s17,12,503,42246,0,0,2946,102565567,0,0
s17,1,5163,202815864,0,0,2151,180766,0,0
s17,4,22639,1041937744,4,0,3632,305401,0,0
s17,6,1103,92868,8,0,8164,258637244,0,0
s17,7,494,41603,0,0,3021,95064908,0,0
s17,2,1098,92592,0,0,1108,93732,0,0
s17,3,1054,91395,0,0,549,69406,0,0
