switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s5,0x1000076edc30f,0,40000,166.912,306,41820,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000076edc30f, duration=166.912s, table=0, n_packets=306, n_bytes=41820, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s5,0x10000a1c7e198,0,40000,166.912,5,210,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000a1c7e198, duration=166.912s, table=0, n_packets=5, n_bytes=210, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s5,0x100005d21975f,0,5,166.912,0,0,ip,"CONTROLLER:65535,clear_actions","cookie=0x100005d21975f, duration=166.912s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s5,0x100002742f90e,0,40000,166.911,306,41820,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100002742f90e, duration=166.911s, table=0, n_packets=306, n_bytes=41820, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
