switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s17,13,488,41391,0,0,2585,97789330,0,0
s17,11,18,1188,0,0,684,60278,0,0
s17,10,18,1188,0,0,683,60208,0,0
s17,8,365,10734,0,0,13,1006,0,0
s17,9,419,36843,0,0,2507,101846902,0,0
s17,5,771,71061,4,0,768,70670,0,0
s17,12,18,1188,0,0,681,59928,0,0
s17,1,779,71261,0,0,782,72043,0,0
s17,4,6523,295997837,4,0,1176,106591,0,0
s17,6,773,70752,8,0,1760,153725,0,0
s17,7,19,1258,0,0,687,60452,0,0
s17,2,768,70476,0,0,778,71616,0,0
s17,3,748,70287,0,0,439,56530,0,0
