switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s17,0x1000028986849,0,40000,640.552,2170,91140,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000028986849, duration=640.552s, table=0, n_packets=2170, n_bytes=91140, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s17,0x1000000217545,0,40000,640.552,1168,160988,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000000217545, duration=640.552s, table=0, n_packets=1168, n_bytes=160988, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s17,0x10000286c1653,0,40000,640.552,1168,160988,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000286c1653, duration=640.552s, table=0, n_packets=1168, n_bytes=160988, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s17,0x100005205fb2a,0,5,640.552,55,5391,ip,"CONTROLLER:65535,clear_actions","cookie=0x100005205fb2a, duration=640.552s, table=0, n_packets=55, n_bytes=5391, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
