switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,906,78116,0,0,4706,211866806,0,0
s6,11,1073,89128,0,0,4820,211867830,0,0
s6,10,18,1300,0,0,891,94450,0,0
s6,8,288,8128,0,0,13,1006,0,0
s6,9,4924,207049272,4,0,903,95640,0,0
s6,5,920,97412,4,0,921,97486,0,0
s6,12,1064,88441,0,0,4567,211848679,0,0
s6,14,1032,86369,0,0,4721,204900873,0,0
s6,1,3044,274567,4,0,932,98700,0,0
s6,4,924,97796,4,0,1436,140702,0,0
s6,6,6438,315596726,4,0,10086,303097709,0,0
s6,7,13043,620521280,4,0,905,95914,0,0
s6,2,926,98632,0,0,925,98654,0,0
s6,3,2125,196119,0,0,2358,220561,0,0
