switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s6,0x10000fc510109,0,40000,2072.928,5942,812063,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000fc510109, duration=2072.928s, table=0, n_packets=5942, n_bytes=812063, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s6,0x10000d7b0d732,0,40000,2072.928,5942,812063,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000d7b0d732, duration=2072.928s, table=0, n_packets=5942, n_bytes=812063, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s6,0x10000e26b130b,0,5,2072.928,0,0,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000e26b130b, duration=2072.928s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s6,0x10000135cb412,0,40000,2072.928,0,0,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000135cb412, duration=2072.928s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
