snapshot,switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
2,s1,0x1000049ccf504,0,5,968.252,53,4114,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000049ccf504, duration=968.252s, table=0, n_packets=53, n_bytes=4114, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
2,s1,0x10000358fc2a1,0,40000,968.252,486,20412,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000358fc2a1, duration=968.252s, table=0, n_packets=486, n_bytes=20412, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
2,s1,0x10000b474f87c,0,40000,968.252,624,85488,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000b474f87c, duration=968.252s, table=0, n_packets=624, n_bytes=85488, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
2,s1,0x1000054ece146,0,40000,968.252,624,85488,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000054ece146, duration=968.252s, table=0, n_packets=624, n_bytes=85488, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
2,s0,0x10000ec38f3f2,0,40000,968.255,841,35322,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000ec38f3f2, duration=968.255s, table=0, n_packets=841, n_bytes=35322, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
2,s0,0x10000c0ab2c28,0,40000,968.253,612,83844,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000c0ab2c28, duration=968.253s, table=0, n_packets=612, n_bytes=83844, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
2,s0,0x100006199710e,0,40000,968.251,612,83844,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100006199710e, duration=968.251s, table=0, n_packets=612, n_bytes=83844, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
2,s0,0x100008aee1fa8,0,5,968.248,238,22508,ip,"CONTROLLER:65535,clear_actions","cookie=0x100008aee1fa8, duration=968.248s, table=0, n_packets=238, n_bytes=22508, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
2,s2,0x10000ec3c50fc,0,40000,968.289,1536,210432,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000ec3c50fc, duration=968.289s, table=0, n_packets=1536, n_bytes=210432, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
2,s2,0x10000a5b43eac,0,40000,968.280,900,37800,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000a5b43eac, duration=968.280s, table=0, n_packets=900, n_bytes=37800, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
2,s2,0x100009cae6dcd,0,5,968.280,164,14464,ip,"CONTROLLER:65535,clear_actions","cookie=0x100009cae6dcd, duration=968.280s, table=0, n_packets=164, n_bytes=14464, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
2,s2,0x10000cf045c27,0,40000,968.280,1536,210432,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000cf045c27, duration=968.280s, table=0, n_packets=1536, n_bytes=210432, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
