switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,481,40840,0,0,2573,105946321,0,0
s6,11,525,43739,0,0,2563,105670556,0,0
s6,10,12,936,0,0,496,49106,0,0
s6,8,200,6178,0,0,13,1006,0,0
s6,9,319,42140,4,0,981,90820,0,0
s6,5,6740,317464417,4,0,393,46798,0,0
s6,12,422,36955,0,0,2491,105941173,0,0
s6,14,969,82465,0,0,4464,211835395,0,0
s6,1,3613,106057329,4,0,6511,307782899,0,0
s6,4,539,53769,4,0,531,53236,0,0
s6,6,3039,105987640,4,0,2492,105938198,0,0
s6,7,530,51992,4,0,1382,126850,0,0
s6,2,6333,307774825,0,0,3421,300743,0,0
s6,3,2479,105938711,0,0,559,54888,0,0
