switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,2120,176367,0,0,9781,420343369,0,0
s6,11,2173,179798,0,0,9760,415337731,0,0
s6,10,578,47271,0,0,3649,95079718,0,0
s6,8,484,13616,0,0,14,1076,0,0
s6,9,18540,814380866,4,0,1656,180114,0,0
s6,5,1673,181330,4,0,1674,181404,0,0
s6,12,2296,187866,0,0,9974,420089032,0,0
s6,14,1898,161685,0,0,9352,411673559,0,0
s6,1,3797,358485,4,0,1685,182618,0,0
s6,4,1676,181644,4,0,3692,351128,0,0
s6,6,11244,524054376,4,0,24737,605825667,0,0
s6,7,22805,1028564701,4,0,1658,180388,0,0
s6,2,1679,183106,0,0,1678,183128,0,0
s6,3,8867,775713,0,0,3790,358924,0,0
