switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s6,0x10000b2ef5b6c,0,5,1842.542,103,8612,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000b2ef5b6c, duration=1842.542s, table=0, n_packets=103, n_bytes=8612, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s6,0x10000218ba365,0,40000,1842.542,5263,719265,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000218ba365, duration=1842.542s, table=0, n_packets=5263, n_bytes=719265, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s6,0x1000084bcd2b7,0,40000,1842.542,4413,185346,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000084bcd2b7, duration=1842.542s, table=0, n_packets=4413, n_bytes=185346, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s6,0x10000176e27df,0,40000,1842.542,5263,719265,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000176e27df, duration=1842.542s, table=0, n_packets=5263, n_bytes=719265, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
