switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s25,8,0,0,0,0,10,796,0,0
s25,5,52,6592,4,0,52,6592,0,0
s25,1,70,9016,4,0,70,9016,0,0
s25,4,56,7144,4,0,56,7144,0,0
s25,6,47,5932,0,0,47,5932,0,0
s25,7,49,6246,0,0,47,5970,0,0
s25,2,66,8468,4,0,64,8194,0,0
s25,3,56,7144,4,0,58,7420,0,0
