switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,506,42618,0,0,2865,85216036,0,0
s24,11,557,46016,0,0,2894,87230164,0,0
s24,10,492,41645,0,0,3034,92513968,0,0
s24,8,616,17826,0,0,13,1006,0,0
s24,9,564,46435,0,0,3055,97375790,0,0
s24,5,1100,92847,0,0,508,67236,0,0
s24,12,476,40701,0,0,2929,97189780,0,0
s24,14,13,1006,0,0,987,77576,0,0
s24,1,1125,95598,4,0,1129,95640,0,0
s24,4,8164,258637244,0,0,1103,92868,0,0
s24,6,11480,506928741,0,0,11664,971801,0,0
s24,7,609,49351,0,0,2938,92668371,0,0
s24,2,5807,484812,0,0,1119,93162,0,0
s24,3,6849,185261750,0,0,8569,312609576,0,0
