switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s0,0x100007231b4d9,0,5,384.701,18,1332,ip,"CONTROLLER:65535,clear_actions","cookie=0x100007231b4d9, duration=384.701s, table=0, n_packets=18, n_bytes=1332, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s0,0x1000086a63fe9,0,40000,384.700,9,378,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000086a63fe9, duration=384.700s, table=0, n_packets=9, n_bytes=378, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s0,0x10000e8bc0c22,0,40000,384.700,249,33864,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000e8bc0c22, duration=384.700s, table=0, n_packets=249, n_bytes=33864, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s0,0x100000d755090,0,40000,384.700,249,33864,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100000d755090, duration=384.700s, table=0, n_packets=249, n_bytes=33864, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s0,0x21000037f702bc,0,10,5.836,627,50425,"in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x21000037f702bc, duration=5.836s, table=0, n_packets=627, n_bytes=50425, send_flow_rem priority=10,in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x21000049892e50,0,10,5.830,1751,105868374,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd",output:3,"cookie=0x21000049892e50, duration=5.830s, table=0, n_packets=1751, n_bytes=105868374, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd actions=output:3"
s0,0x210000e5f12f5c,0,10,3.908,626,50362,"in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x210000e5f12f5c, duration=3.908s, table=0, n_packets=626, n_bytes=50362, send_flow_rem priority=10,in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x2100009945d9bc,0,10,3.901,1761,105870210,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c",output:1,"cookie=0x2100009945d9bc, duration=3.901s, table=0, n_packets=1761, n_bytes=105870210, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c actions=output:1"
s0,0x2100001f5a8163,0,10,1.987,498,35626,"in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x2100001f5a8163, duration=1.987s, table=0, n_packets=498, n_bytes=35626, send_flow_rem priority=10,in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x210000d81a1d75,0,10,1.979,1402,83544762,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92",output:2,"cookie=0x210000d81a1d75, duration=1.979s, table=0, n_packets=1402, n_bytes=83544762, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92 actions=output:2"
