switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s12,13,381,34352,0,0,2031,100058580,0,0
s12,11,443,38430,0,0,2142,100777041,0,0
s12,10,497,42026,0,0,2217,105916438,0,0
s12,8,67,2623,0,0,12,936,0,0
s12,9,18,1188,0,0,257,29821,0,0
s12,5,6842,315446936,0,0,4473,211535738,0,0
s12,12,468,40104,0,0,2121,105908174,0,0
s12,14,402,35727,0,0,2114,103612729,0,0
s12,1,324,37814,4,0,312,36323,0,0
s12,4,12104,619080189,0,0,3775,335222,0,0
s12,6,918,84493,8,0,2299,105919060,0,0
s12,7,1220,114813,4,0,4612,208070796,0,0
s12,2,2501,220105,4,0,6453,312685814,0,0
s12,3,10642,525720512,0,0,3915,337628,0,0
