switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,12,936,0,0,656,55218,0,0
s24,11,12,936,0,0,658,55498,0,0
s24,10,12,936,0,0,660,55778,0,0
s24,8,372,10994,0,0,13,1006,0,0
s24,9,12,936,0,0,660,55502,0,0
s24,5,778,71067,0,0,414,55032,0,0
s24,12,12,936,0,0,658,55498,0,0
s24,14,12,936,0,0,656,55218,0,0
s24,1,795,73568,4,0,799,73610,0,0
s24,4,1760,153725,0,0,773,70752,0,0
s24,6,3055,105003003,0,0,5035,424816,0,0
s24,7,12,936,0,0,664,56058,0,0
s24,2,3409,290022,0,0,789,71132,0,0
s24,3,1398,120733,0,0,3077,105004962,0,0
