switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s24,0x10000e2887c28,0,40000,640.247,1169,160925,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000e2887c28, duration=640.247s, table=0, n_packets=1169, n_bytes=160925, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s24,0x100006ec071a9,0,40000,640.247,2182,91644,arp,"CONTROLLER:65535,clear_actions","cookie=0x100006ec071a9, duration=640.247s, table=0, n_packets=2182, n_bytes=91644, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s24,0x1000030cfe2cc,0,5,640.247,66,6503,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000030cfe2cc, duration=640.247s, table=0, n_packets=66, n_bytes=6503, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s24,0x1000047e74c38,0,40000,640.247,1169,160925,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000047e74c38, duration=640.247s, table=0, n_packets=1169, n_bytes=160925, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
