switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s3,0x100000fc14907,0,40000,1911.650,1223,167551,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100000fc14907, duration=1911.650s, table=0, n_packets=1223, n_bytes=167551, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s3,0x10000c7d7394f,0,5,1911.650,2,196,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000c7d7394f, duration=1911.650s, table=0, n_packets=2, n_bytes=196, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s3,0x100003ad17b3f,0,40000,1911.649,57,2394,arp,"CONTROLLER:65535,clear_actions","cookie=0x100003ad17b3f, duration=1911.649s, table=0, n_packets=57, n_bytes=2394, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s3,0x10000cc105297,0,40000,1911.649,1223,167551,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000cc105297, duration=1911.649s, table=0, n_packets=1223, n_bytes=167551, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
