switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,981,82918,0,0,4871,211857417,0,0
s6,11,532,44061,0,0,2815,105689574,0,0
s6,10,13,1006,0,0,754,68290,0,0
s6,8,371,11030,0,0,13,1006,0,0
s6,9,407,54034,4,0,1238,109848,0,0
s6,5,12983,626617638,4,0,498,59292,0,0
s6,12,944,80513,0,0,4824,211857188,0,0
s6,14,1417,121093,0,0,6609,309201045,0,0
s6,1,4217,106112183,4,0,8702,403579372,0,0
s6,4,799,72837,4,0,789,72248,0,0
s6,6,5067,106150854,4,0,9569,418455862,0,0
s6,7,789,71132,4,0,3409,290022,0,0
s6,2,8368,403564796,0,0,5649,486395,0,0
s6,3,9553,418456277,0,0,822,74196,0,0
