switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s0,0x10000f03b4cf0,0,40000,709.058,59,2478,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000f03b4cf0, duration=709.058s, table=0, n_packets=59, n_bytes=2478, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s0,0x10000d353bb04,0,40000,709.058,444,60828,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000d353bb04, duration=709.058s, table=0, n_packets=444, n_bytes=60828, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s0,0x10000b0e38d67,0,40000,709.058,444,60828,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000b0e38d67, duration=709.058s, table=0, n_packets=444, n_bytes=60828, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s0,0x1000026fc6270,0,5,709.058,2,196,ip,"CONTROLLER:65535,clear_actions","cookie=0x1000026fc6270, duration=709.058s, table=0, n_packets=2, n_bytes=196, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
