frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
"1764689119.771948000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689119.781750000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689119.972210000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689119.972263000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689120.174827000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689120.174875000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689120.378828000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689120.378877000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689120.582829000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689120.582872000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689120.786893000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689120.786986000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689120.990949000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689120.991076000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689121.194823000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689121.194866000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689121.398835000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689121.398909000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
"1764689121.602827000","98","192.168.0.3","192.168.0.1",,,"ICMP",,,,,"8","0",,
"1764689121.602874000","98","192.168.0.1","192.168.0.3",,,"ICMP",,,,,"0","0",,
