switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,12,936,0,0,398,35890,0,0
s24,11,12,936,0,0,400,36170,0,0
s24,10,12,936,0,0,402,36450,0,0
s24,8,200,6114,0,0,13,1006,0,0
s24,9,12,936,0,0,402,36260,0,0
s24,5,519,51841,0,0,319,42630,0,0
s24,12,12,936,0,0,400,36170,0,0
s24,14,12,936,0,0,398,35890,0,0
s24,1,536,54424,4,0,538,54322,0,0
s24,4,516,51386,0,0,514,51526,0,0
s24,6,523,52041,0,0,1386,127350,0,0
s24,7,12,936,0,0,405,36746,0,0
s24,2,1382,126850,0,0,530,51992,0,0
s24,3,502,50380,0,0,543,53884,0,0
