switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s25,0x1000095c6816d,0,40000,105.980,205,8610,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000095c6816d, duration=105.980s, table=0, n_packets=205, n_bytes=8610, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s25,0x100009f32a036,0,5,105.980,22,2156,ip,"CONTROLLER:65535,clear_actions","cookie=0x100009f32a036, duration=105.980s, table=0, n_packets=22, n_bytes=2156, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s25,0x10000c00a1922,0,40000,105.980,166,22831,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000c00a1922, duration=105.980s, table=0, n_packets=166, n_bytes=22831, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s25,0x100006c138135,0,40000,105.980,166,22831,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100006c138135, duration=105.980s, table=0, n_packets=166, n_bytes=22831, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s25,0x21000052f9593f,0,10,3.578,0,0,"in_port=7,dl_src=5a:ec:fc:ba:2c:0e,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x21000052f9593f, duration=3.578s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=5a:ec:fc:ba:2c:0e,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x2100001e701166,0,10,3.526,0,0,"in_port=7,dl_src=2a:c8:08:a6:6b:e9,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x2100001e701166, duration=3.526s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=2a:c8:08:a6:6b:e9,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x210000c22f40bb,0,10,3.471,0,0,"in_port=2,dl_src=b6:11:2d:08:18:b2,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x210000c22f40bb, duration=3.471s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=b6:11:2d:08:18:b2,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x210000207a3189,0,10,3.451,0,0,"in_port=6,dl_src=fa:f5:fa:f8:1e:a4,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x210000207a3189, duration=3.451s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=6,dl_src=fa:f5:fa:f8:1e:a4,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x210000cb75bfae,0,10,3.439,0,0,"in_port=1,dl_src=ca:b4:19:af:3b:b5,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x210000cb75bfae, duration=3.439s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=ca:b4:19:af:3b:b5,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x2100008efe3c55,0,10,3.433,0,0,"in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=5a:ec:fc:ba:2c:0e",output:7,"cookie=0x2100008efe3c55, duration=3.433s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=5a:ec:fc:ba:2c:0e actions=output:7"
s25,0x210000e099f612,0,10,3.424,0,0,"in_port=7,dl_src=66:ab:5f:f0:f3:92,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x210000e099f612, duration=3.424s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=66:ab:5f:f0:f3:92,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x21000088ea1028,0,10,3.408,0,0,"in_port=2,dl_src=0e:60:85:9c:ad:4a,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x21000088ea1028, duration=3.408s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=2,dl_src=0e:60:85:9c:ad:4a,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x2100008bb084e2,0,10,3.408,0,0,"in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=2a:c8:08:a6:6b:e9",output:7,"cookie=0x2100008bb084e2, duration=3.408s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=2a:c8:08:a6:6b:e9 actions=output:7"
s25,0x210000af9e0dc1,0,10,3.407,0,0,"in_port=7,dl_src=6e:74:74:f7:3b:58,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x210000af9e0dc1, duration=3.407s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=7,dl_src=6e:74:74:f7:3b:58,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x210000bb412227,0,10,3.401,0,0,"in_port=1,dl_src=16:eb:27:d7:fe:26,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x210000bb412227, duration=3.401s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=1,dl_src=16:eb:27:d7:fe:26,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x21000044bf03c2,0,10,3.380,0,0,"in_port=8,dl_src=ce:50:6b:03:23:69,dl_dst=0a:5d:b0:51:a7:84",output:5,"cookie=0x21000044bf03c2, duration=3.380s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=8,dl_src=ce:50:6b:03:23:69,dl_dst=0a:5d:b0:51:a7:84 actions=output:5"
s25,0x21000009cc218c,0,10,3.363,0,0,"in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=b6:11:2d:08:18:b2",output:2,"cookie=0x21000009cc218c, duration=3.363s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=b6:11:2d:08:18:b2 actions=output:2"
s25,0x21000096d945fd,0,10,3.327,0,0,"in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=fa:f5:fa:f8:1e:a4",output:6,"cookie=0x21000096d945fd, duration=3.327s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=10,in_port=5,dl_src=0a:5d:b0:51:a7:84,dl_dst=fa:f5:fa:f8:1e:a4 actions=output:6"
