switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s16,13,12,936,0,0,442,42447,0,0
s16,11,12,936,0,0,444,42727,0,0
s16,10,12,936,0,0,446,43007,0,0
s16,8,198,6259,0,0,13,1006,0,0
s16,9,18,1188,0,0,440,42519,0,0
s16,5,950,90131,0,0,2130,105924050,0,0
s16,12,12,936,0,0,444,42727,0,0
s16,14,12,936,0,0,442,42447,0,0
s16,1,539,54533,4,0,532,54081,0,0
s16,4,10076,519029046,0,0,2990,260950,0,0
s16,6,592,48268,0,0,2555,103099126,0,0
s16,7,525,43850,0,0,2415,101957213,0,0
s16,2,743,80563,4,0,2358,105930457,0,0
s16,3,519,52705,0,0,518,52471,0,0
