switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,394,35243,0,0,2386,105936110,0,0
s6,11,585,47826,0,0,2682,105952722,0,0
s6,10,17,1230,0,0,583,55950,0,0
s6,8,247,6980,0,0,13,1006,0,0
s6,9,600,57552,4,0,595,57406,0,0
s6,5,612,59444,4,0,614,59588,0,0
s6,12,516,43197,0,0,2489,105937064,0,0
s6,14,517,43313,0,0,2409,103800361,0,0
s6,1,621,60626,4,0,625,60802,0,0
s6,4,616,59828,4,0,615,59790,0,0
s6,6,4361,209685713,4,0,1663,147118,0,0
s6,7,4509,211835192,4,0,597,57680,0,0
s6,2,619,60468,0,0,618,60490,0,0
s6,3,646,62418,0,0,1564,141165,0,0
