switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s12,13,1663,137101,0,0,7323,306015284,0,0
s12,11,1627,134721,0,0,7582,308898904,0,0
s12,10,1530,128252,0,0,7153,313869732,0,0
s12,8,366,10280,0,0,14,1076,0,0
s12,9,1521,127648,0,0,7667,316957170,0,0
s12,5,4687,427797,0,0,29889,1422774735,0,0
s12,12,1604,133155,0,0,7314,307870187,0,0
s12,14,1577,131395,0,0,7105,305394809,0,0
s12,1,2790,267016,4,0,7321,297651525,0,0
s12,4,49715,2474820137,0,0,14460,1227631,0,0
s12,6,24366,728112640,4,0,13052,631804097,0,0
s12,7,2959,277520,4,0,19583,908070089,0,0
s12,2,4750,424169,4,0,25741,1050925737,0,0
s12,3,67202,3275359523,0,0,14291,1225637,0,0
