switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s6,13,475,40588,0,0,2357,105928907,0,0
s6,11,519,43487,0,0,2347,105653142,0,0
s6,10,12,936,0,0,274,31526,0,0
s6,8,64,2370,0,0,12,936,0,0
s6,9,230,30232,4,0,758,73256,0,0
s6,5,2365,105656545,4,0,280,33940,0,0
s6,12,18,1188,0,0,266,31194,0,0
s6,14,452,39294,0,0,2070,105918682,0,0
s6,1,2645,105969435,4,0,2395,103200760,0,0
s6,4,310,36039,4,0,309,35828,0,0
s6,6,2385,105932584,4,0,300,34890,0,0
s6,7,293,33772,4,0,729,71836,0,0
s6,2,2334,103197542,0,0,1413,128827,0,0
s6,3,316,36745,0,0,310,36260,0,0
