1,4,16,64,256
81932.0,105904.0,279716.0,964872.0,4024220.0
39008.0,98116.0,4380.0,925740.0,3971504.0
56112.0,114356.0,13764.0,954652.0,3936696.0
87712.0,114304.0,282652.0,971904.0,4010376.0
51572.0,114984.0,289808.0,654296.0,4109008.0
76400.0,113680.0,281120.0,966600.0,4096548.0
94824.0,79164.0,256220.0,988252.0,4071424.0
47988.0,106724.0,285556.0,968376.0,4135948.0
81912.0,140744.0,217304.0,923948.0,4038032.0
54256.0,122096.0,1532.0,968472.0,4033916.0
75164.0,114816.0,278376.0,979904.0,4066548.0
73536.0,109036.0,296708.0,640608.0,4147500.0
89912,80984,235912,955120,3930424
67120,105384,293900,962164,3976008
62692,131460,20864,993288,3791752
25724,124732,233456,922116,3842232
68368,116916,303984,699748,3883508
62688,76676,99992,988704,3909612
98884,88624,287072,918084,4029292
70340,117424,284048,551928,4071216
77032,107660,284624,559332,4068024
73132,110324,177672,921928,3937248
26900,67380,290180,909296,3934128
66572,114716,289548,620524,4024216
79700.0,76568.0,275948.0,1021972.0,4038528.0
66648.0,107256.0,283116.0,956228.0,3964476.0
67336.0,111460.0,283696.0,817560.0,4021728.0
57188.0,117428.0,279272.0,655636.0,4064248.0
68076.0,117520.0,298944.0,550076.0,4055636.0
63388.0,104020.0,25692.0,979616.0,3963696.0
