Connecting to host 172.16.0.1, port 5201
[  5] local 172.16.0.2 port 33862 connected to 172.16.0.1 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  28.00-29.00  sec  3.23 MBytes  27.1 Mbits/sec    0    228 KBytes       
[  5]  29.00-30.00  sec  1.62 MBytes  13.5 Mbits/sec   61    133 KBytes       
[  5]  30.00-31.00  sec  2.42 MBytes  20.3 Mbits/sec   61   90.5 KBytes       
[  5]  31.00-32.00  sec  2.42 MBytes  20.3 Mbits/sec    0    124 KBytes       
[  5]  32.00-33.00  sec  1.62 MBytes  13.6 Mbits/sec    0    147 KBytes       
[  5]  33.00-34.00  sec  2.42 MBytes  20.3 Mbits/sec   61    106 KBytes       
[  5]  34.00-35.00  sec  2.42 MBytes  20.3 Mbits/sec    0    136 KBytes       
[  5]  35.00-36.00  sec  3.23 MBytes  27.1 Mbits/sec    0    165 KBytes       
[  5]  36.00-37.00  sec  2.42 MBytes  20.3 Mbits/sec    0    212 KBytes       
[  5]  37.00-38.00  sec  2.42 MBytes  20.3 Mbits/sec    0    269 KBytes       
[  5]  38.00-39.00  sec  2.42 MBytes  20.3 Mbits/sec    0    331 KBytes       
[  5]  39.00-40.00  sec  2.42 MBytes  20.3 Mbits/sec    0    397 KBytes       
[  5]  40.00-41.00  sec  2.49 MBytes  20.9 Mbits/sec    7    214 KBytes       
[  5]  41.00-42.00  sec  3.23 MBytes  27.1 Mbits/sec    0    230 KBytes       
[  5]  42.00-43.00  sec  2.42 MBytes  20.3 Mbits/sec    0    249 KBytes       
[  5]  43.00-44.00  sec  2.42 MBytes  20.3 Mbits/sec    0    283 KBytes       
[  5]  44.00-45.00  sec  2.42 MBytes  20.3 Mbits/sec    0    327 KBytes       
[  5]  45.00-46.00  sec  2.42 MBytes  20.3 Mbits/sec    0    380 KBytes       
[  5]  46.00-47.00  sec  3.29 MBytes  27.6 Mbits/sec    5    208 KBytes       
[  5]  47.00-48.00  sec  2.42 MBytes  20.3 Mbits/sec    0    225 KBytes       
[  5]  48.00-49.00  sec  2.42 MBytes  20.3 Mbits/sec    0    240 KBytes       
[  5]  49.00-50.00  sec  2.42 MBytes  20.3 Mbits/sec    0    273 KBytes       
[  5]  50.00-51.00  sec  2.42 MBytes  20.3 Mbits/sec    0    315 KBytes       
[  5]  51.00-52.00  sec  1.62 MBytes  13.6 Mbits/sec    0    337 KBytes       
[  5]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  5]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  5]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[  5]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec  91.0 MBytes  12.7 Mbits/sec  352             sender
[  5]   0.00-63.85  sec  89.0 MBytes  11.7 Mbits/sec                  receiver

iperf Done.
