[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  28.00-29.00  sec  0.00 Bytes  0.00 bits/sec   11   35.4 KBytes       
[  5]  29.00-30.00  sec  2.50 MBytes  21.0 Mbits/sec    0   82.0 KBytes       
[  5]  30.00-31.00  sec  2.50 MBytes  21.0 Mbits/sec    0    116 KBytes       
[  5]  31.00-32.00  sec  1.25 MBytes  10.5 Mbits/sec    0    171 KBytes       
[  5]  32.00-33.00  sec  3.75 MBytes  31.5 Mbits/sec    0    233 KBytes       
[  5]  33.00-34.00  sec  2.50 MBytes  21.0 Mbits/sec    0    298 KBytes       
[  5]  34.00-35.00  sec  2.50 MBytes  21.0 Mbits/sec    0    368 KBytes       
[  5]  35.00-36.00  sec  2.50 MBytes  21.0 Mbits/sec    8    206 KBytes       
[  5]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0    219 KBytes       
[  5]  37.00-38.00  sec  2.50 MBytes  21.0 Mbits/sec    0    236 KBytes       
[  5]  38.00-39.00  sec  2.50 MBytes  21.0 Mbits/sec    0    262 KBytes       
[  5]  39.00-40.00  sec  3.75 MBytes  31.5 Mbits/sec    0    304 KBytes       
[  5]  40.00-41.00  sec  2.50 MBytes  21.0 Mbits/sec    0    354 KBytes       
[  5]  41.00-42.00  sec  1.25 MBytes  10.5 Mbits/sec    2    191 KBytes       
[  5]  42.00-43.00  sec  2.50 MBytes  21.0 Mbits/sec    0    209 KBytes       
[  5]  43.00-44.00  sec  2.50 MBytes  21.0 Mbits/sec    0    226 KBytes       
[  5]  44.00-45.00  sec  2.50 MBytes  21.0 Mbits/sec    0    252 KBytes       
[  5]  45.00-46.00  sec  2.50 MBytes  21.0 Mbits/sec    0    284 KBytes       
[  5]  46.00-47.00  sec  2.50 MBytes  21.0 Mbits/sec    0    334 KBytes       
[  5]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0    373 KBytes       
[  5]  48.00-49.00  sec  3.75 MBytes  31.5 Mbits/sec    8    208 KBytes       
[  5]  49.00-50.00  sec  2.50 MBytes  21.0 Mbits/sec    0    225 KBytes       
[  5]  50.00-51.00  sec  2.50 MBytes  21.0 Mbits/sec    0    240 KBytes       
[  5]  51.00-52.00  sec  2.50 MBytes  21.0 Mbits/sec    0    269 KBytes       
[  5]  52.00-53.00  sec  1.25 MBytes  10.5 Mbits/sec    9    151 KBytes       
[  5]  53.00-54.00  sec  3.75 MBytes  31.5 Mbits/sec    0    174 KBytes       
[  5]  54.00-55.00  sec  2.50 MBytes  21.0 Mbits/sec    0    194 KBytes       
[  5]  55.00-56.00  sec  2.50 MBytes  21.0 Mbits/sec    0    233 KBytes       
[  5]  56.00-57.00  sec  2.50 MBytes  21.0 Mbits/sec    0    283 KBytes       
[  5]  57.00-58.00  sec  2.50 MBytes  21.0 Mbits/sec    0    339 KBytes       
[  5]  58.00-59.00  sec  2.50 MBytes  21.0 Mbits/sec    3    288 KBytes       
[  5]  59.00-60.00  sec  2.50 MBytes  21.0 Mbits/sec    4    214 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bitrate         Retr
[  5]   0.00-60.00  sec   119 MBytes  16.6 Mbits/sec  701             sender
[  5]   0.00-60.08  sec   115 MBytes  16.1 Mbits/sec                  receiver
