switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s12,13,885,76702,0,0,4278,202312212,0,0
s12,11,906,78057,0,0,4355,202894164,0,0
s12,10,999,84208,0,0,4575,210820389,0,0
s12,8,206,6547,0,0,13,1006,0,0
s12,9,24,1440,0,0,476,47393,0,0
s12,5,16217,624939503,0,0,20752,1035209394,0,0
s12,12,474,40356,0,0,2340,105925832,0,0
s12,14,408,35979,0,0,2333,103630387,0,0
s12,1,546,55308,4,0,537,53975,0,0
s12,4,32320,1644491655,0,0,9806,845191,0,0
s12,6,1141,102115,8,0,2526,105936882,0,0
s12,7,2412,214602,4,0,4837,208088534,0,0
s12,2,5316,463374,4,0,14276,726212364,0,0
s12,3,14361,737502148,0,0,6393,549771,0,0
