switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s11,0x100001cb3a867,0,40000,1842.042,1761,241843,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100001cb3a867, duration=1842.042s, table=0, n_packets=1761, n_bytes=241843, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s11,0x10000c499de5e,0,40000,1842.042,1761,241843,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000c499de5e, duration=1842.042s, table=0, n_packets=1761, n_bytes=241843, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s11,0x100003c255be0,0,40000,1842.042,1469,61698,arp,"CONTROLLER:65535,clear_actions","cookie=0x100003c255be0, duration=1842.042s, table=0, n_packets=1469, n_bytes=61698, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s11,0x100004b5fc2ba,0,5,1842.041,32,2512,ip,"CONTROLLER:65535,clear_actions","cookie=0x100004b5fc2ba, duration=1842.041s, table=0, n_packets=32, n_bytes=2512, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
