switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s7,0x10000aaaeb11d,0,5,1842.593,19,1406,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000aaaeb11d, duration=1842.593s, table=0, n_packets=19, n_bytes=1406, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s7,0x1000017c14c0b,0,40000,1842.593,2936,401056,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x1000017c14c0b, duration=1842.593s, table=0, n_packets=2936, n_bytes=401056, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s7,0x10000d32dfb33,0,40000,1842.593,2936,401056,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x10000d32dfb33, duration=1842.593s, table=0, n_packets=2936, n_bytes=401056, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s7,0x10000fa2b767b,0,40000,1842.593,2416,101472,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000fa2b767b, duration=1842.593s, table=0, n_packets=2416, n_bytes=101472, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
