switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s12,13,552,45622,0,0,2523,105943081,0,0
s12,11,526,43877,0,0,2517,102277130,0,0
s12,10,424,37136,0,0,2460,103163484,0,0
s12,8,245,6892,0,0,13,1006,0,0
s12,9,484,41059,0,0,2608,105943229,0,0
s12,5,1077,99135,0,0,2768,105957112,0,0
s12,12,483,41042,0,0,2566,103577446,0,0
s12,14,527,43994,0,0,2369,102151683,0,0
s12,1,616,60216,4,0,613,60030,0,0
s12,4,2428,105941331,0,0,619,60092,0,0
s12,6,9451,416267162,4,0,4456,211747075,0,0
s12,7,597,57914,4,0,2415,105939759,0,0
s12,2,1686,149152,4,0,6730,212017574,0,0
s12,3,16842,840670639,0,0,4663,399813,0,0
