switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s0,0x100007231b4d9,0,5,20.827,6,444,ip,"CONTROLLER:65535,clear_actions","cookie=0x100007231b4d9, duration=20.827s, table=0, n_packets=6, n_bytes=444, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s0,0x1000086a63fe9,0,40000,20.826,9,378,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000086a63fe9, duration=20.826s, table=0, n_packets=9, n_bytes=378, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s0,0x10000e8bc0c22,0,40000,20.826,13,1768,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000e8bc0c22, duration=20.826s, table=0, n_packets=13, n_bytes=1768, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s0,0x100000d755090,0,40000,20.826,13,1768,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100000d755090, duration=20.826s, table=0, n_packets=13, n_bytes=1768, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s0,0x21000049892e50,0,10,6.050,1759,105868918,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd",output:3,"cookie=0x21000049892e50, duration=6.050s, table=0, n_packets=1759, n_bytes=105868918, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd actions=output:3"
s0,0x21000037f702bc,0,10,6.049,581,47379,"in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x21000037f702bc, duration=6.049s, table=0, n_packets=581, n_bytes=47379, send_flow_rem priority=10,in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x210000e5f12f5c,0,10,3.953,599,48629,"in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x210000e5f12f5c, duration=3.953s, table=0, n_packets=599, n_bytes=48629, send_flow_rem priority=10,in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x2100009945d9bc,0,10,3.944,1752,105869610,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c",output:1,"cookie=0x2100009945d9bc, duration=3.944s, table=0, n_packets=1752, n_bytes=105869610, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c actions=output:1"
s0,0x2100001f5a8163,0,10,1.967,524,37342,"in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x2100001f5a8163, duration=1.967s, table=0, n_packets=524, n_bytes=37342, send_flow_rem priority=10,in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x210000d81a1d75,0,10,1.953,1515,90852750,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92",output:2,"cookie=0x210000d81a1d75, duration=1.953s, table=0, n_packets=1515, n_bytes=90852750, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92 actions=output:2"
