switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,11,866,0,0,174,18026,0,0
s24,11,11,866,0,0,176,18306,0,0
s24,10,11,866,0,0,178,18586,0,0
s24,8,63,2278,0,0,12,936,0,0
s24,9,11,866,0,0,178,18482,0,0
s24,5,296,34219,0,0,226,30468,0,0
s24,12,11,866,0,0,176,18306,0,0
s24,14,11,866,0,0,174,18026,0,0
s24,1,313,36860,4,0,315,36786,0,0
s24,4,285,33396,0,0,291,33904,0,0
s24,6,294,34103,0,0,731,72166,0,0
s24,7,11,866,0,0,182,19038,0,0
s24,2,731,72110,0,0,293,33772,0,0
s24,3,280,32800,0,0,319,36220,0,0
