switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s26,0x100001b19cdc1,0,40000,506.812,613,84285,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100001b19cdc1, duration=506.812s, table=0, n_packets=613, n_bytes=84285, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s26,0x10000f9574ba0,0,5,506.812,56,6318,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000f9574ba0, duration=506.812s, table=0, n_packets=56, n_bytes=6318, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s26,0x10000522c3bb3,0,40000,506.812,613,84285,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000522c3bb3, duration=506.812s, table=0, n_packets=613, n_bytes=84285, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s26,0x100006696ea59,0,40000,506.812,777,32634,arp,"CONTROLLER:65535,clear_actions","cookie=0x100006696ea59, duration=506.812s, table=0, n_packets=777, n_bytes=32634, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
