switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s17,13,981,82978,0,0,5347,189999561,0,0
s17,11,1148,94024,0,0,5584,187661408,0,0
s17,10,1090,90129,0,0,5571,201398728,0,0
s17,8,483,13556,0,0,15,1146,0,0
s17,9,1054,87763,0,0,5661,193080962,0,0
s17,5,2858,279096,4,0,1659,181750,0,0
s17,12,1151,94170,0,0,5629,193632688,0,0
s17,1,11835,487327923,0,0,1663,181136,0,0
s17,4,19466,868543231,4,0,6452,580009,0,0
s17,6,1657,181474,4,0,2698,268178,0,0
s17,7,1039,86774,0,0,5539,197262027,0,0
s17,2,1662,182228,0,0,1665,182386,0,0
s17,3,1624,180472,0,0,4068,396951,0,0
