switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s24,0x100002579b810,0,5,166.005,0,0,ip,"CONTROLLER:65535,clear_actions","cookie=0x100002579b810, duration=166.005s, table=0, n_packets=0, n_bytes=0, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s24,0x10000057263ef,0,40000,166.005,257,35372,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x10000057263ef, duration=166.005s, table=0, n_packets=257, n_bytes=35372, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s24,0x1000011d6b4cd,0,40000,166.005,257,35372,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x1000011d6b4cd, duration=166.005s, table=0, n_packets=257, n_bytes=35372, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s24,0x1000018da883f,0,40000,166.005,6,252,arp,"CONTROLLER:65535,clear_actions","cookie=0x1000018da883f, duration=166.005s, table=0, n_packets=6, n_bytes=252, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
