switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s24,13,18,1300,0,0,1149,123902,0,0
s24,11,18,1300,0,0,1151,124182,0,0
s24,10,18,1300,0,0,1153,124462,0,0
s24,8,367,10308,0,0,14,1076,0,0
s24,9,17,1230,0,0,1153,123692,0,0
s24,5,1265,138514,0,0,1265,138514,0,0
s24,12,18,1300,0,0,1151,124182,0,0
s24,14,18,1300,0,0,1149,123902,0,0
s24,1,1291,141216,4,0,9406,418075759,0,0
s24,4,1265,138514,0,0,1267,138790,0,0
s24,6,26385,1234264510,0,0,6294,569750,0,0
s24,7,18,1300,0,0,1157,124248,0,0
s24,2,1268,137978,0,0,19765,922582026,0,0
s24,3,14763,418519567,0,0,7889,311820664,0,0
