switch,cookie,table,priority,duration_s,n_packets,n_bytes,match_raw,actions_raw,flow_raw
s0,0x100007c91607f,0,40000,565.787,366,49776,dl_type=0x8942,"CONTROLLER:65535,clear_actions","cookie=0x100007c91607f, duration=565.787s, table=0, n_packets=366, n_bytes=49776, send_flow_rem priority=40000,dl_type=0x8942 actions=CONTROLLER:65535,clear_actions"
s0,0x10000dd74a4b1,0,5,565.787,25,2450,ip,"CONTROLLER:65535,clear_actions","cookie=0x10000dd74a4b1, duration=565.787s, table=0, n_packets=25, n_bytes=2450, send_flow_rem priority=5,ip actions=CONTROLLER:65535,clear_actions"
s0,0x10000f72eb779,0,40000,565.787,44,1848,arp,"CONTROLLER:65535,clear_actions","cookie=0x10000f72eb779, duration=565.787s, table=0, n_packets=44, n_bytes=1848, send_flow_rem priority=40000,arp actions=CONTROLLER:65535,clear_actions"
s0,0x100001ec04e1a,0,40000,565.787,366,49776,dl_type=0x88cc,"CONTROLLER:65535,clear_actions","cookie=0x100001ec04e1a, duration=565.787s, table=0, n_packets=366, n_bytes=49776, send_flow_rem priority=40000,dl_type=0x88cc actions=CONTROLLER:65535,clear_actions"
s0,0x210000ea68f557,0,10,5.882,9,882,"in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x210000ea68f557, duration=5.882s, table=0, n_packets=9, n_bytes=882, send_flow_rem priority=10,in_port=3,dl_src=c6:64:9f:95:aa:bd,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x210000c0a4dacb,0,10,5.880,9,882,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd",output:3,"cookie=0x210000c0a4dacb, duration=5.880s, table=0, n_packets=9, n_bytes=882, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=c6:64:9f:95:aa:bd actions=output:3"
s0,0x21000027ab990b,0,10,3.909,9,882,"in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x21000027ab990b, duration=3.909s, table=0, n_packets=9, n_bytes=882, send_flow_rem priority=10,in_port=1,dl_src=5a:4a:03:aa:8d:8c,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x21000081528ede,0,10,3.907,9,882,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c",output:1,"cookie=0x21000081528ede, duration=3.907s, table=0, n_packets=9, n_bytes=882, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=5a:4a:03:aa:8d:8c actions=output:1"
s0,0x210000b92c0b0c,0,10,1.937,7,686,"in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98",output:4,"cookie=0x210000b92c0b0c, duration=1.937s, table=0, n_packets=7, n_bytes=686, send_flow_rem priority=10,in_port=2,dl_src=66:ab:5f:f0:f3:92,dl_dst=32:6b:7f:4b:aa:98 actions=output:4"
s0,0x2100000b54f2ee,0,10,1.933,7,686,"in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92",output:2,"cookie=0x2100000b54f2ee, duration=1.933s, table=0, n_packets=7, n_bytes=686, send_flow_rem priority=10,in_port=4,dl_src=32:6b:7f:4b:aa:98,dl_dst=66:ab:5f:f0:f3:92 actions=output:2"
