switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s13,10,1154,94401,0,0,5572,207960607,0,0
s13,8,369,10396,0,0,14,1076,0,0
s13,9,992,83717,0,0,5251,203528535,0,0
s13,5,28991,1444159463,0,0,14675,100043335,0,0
s13,1,21408,1034781913,4,0,6519,577392,0,0
s13,4,12439,1067662,0,0,28548,1422246057,0,0
s13,6,1596,132718,0,0,7366,312777725,0,0
s13,7,1134,93184,0,0,5202,208322166,0,0
s13,2,12876,605780115,4,0,4094,380646,0,0
s13,3,16216,513852009,4,0,22048,936474659,0,0
