frame.time_epoch,frame.len,ip.src,ip.dst,ipv6.src,ipv6.dst,_ws.col.Protocol,tcp.srcport,tcp.dstport,tcp.flags,tcp.stream,icmp.type,icmp.code,icmpv6.type,icmpv6.code
"1765235662.567317000","74","192.168.0.2","192.168.0.47",,,"TCP","80","40788","0x0012","0",,,,
"1765235662.567789000","74","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0002","1",,,,
"1765235663.274735000","74","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0002","1",,,,
"1765235663.565470000","74","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0012","1",,,,
"1765235663.565514000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235663.566813000","372","192.168.0.41","192.168.0.4",,,"HTTP/JSON","50052","80","0x0018","1",,,,
"1765235663.589313000","66","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0010","1",,,,
"1765235663.589584000","288","192.168.0.4","192.168.0.41",,,"HTTP/JSON","80","50052","0x0018","1",,,,
"1765235663.589600000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235663.591721000","251","192.168.0.41","192.168.0.4",,,"HTTP","50052","80","0x0018","1",,,,
"1765235663.597656000","74","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0012","1",,,,
"1765235663.597688000","78","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235663.638810000","66","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0010","1",,,,
"1765235664.106972000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.107012000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.107074000","1266","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.107084000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.109089000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.109106000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.109151000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.109162000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.109185000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.109195000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.109219000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.109232000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.109251000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.109259000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.110921000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.110956000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.110992000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.110999000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111043000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111060000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111090000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111101000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111120000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111130000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111150000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111159000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111180000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111192000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111213000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111225000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111244000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111253000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.111272000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.111317000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.120347000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120373000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.120421000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120443000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120462000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120483000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120500000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120519000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120538000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120556000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120571000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120587000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120607000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.120674000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.121922000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.121938000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.121983000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.121991000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122013000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122036000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122059000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122065000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122084000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122094000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122114000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122122000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122140000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122147000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122165000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122171000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122192000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122201000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122223000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122233000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122252000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122259000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122277000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122283000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122595000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122621000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122661000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122668000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122689000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122722000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122777000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122780000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.122789000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.122794000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.123208000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.123225000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.123265000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.123276000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.123325000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.123335000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.123360000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.123369000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.123391000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.123402000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.137862000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.137884000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.137944000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.137952000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.137975000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.137983000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138004000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138014000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138055000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138063000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138082000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138089000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138108000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138116000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138136000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138142000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138161000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138167000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138190000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138196000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138215000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138223000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138242000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138249000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138270000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138282000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138306000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138314000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138334000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138342000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138364000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138376000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138399000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138407000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138426000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138433000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138456000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138466000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138485000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138499000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138520000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138528000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138547000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138555000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138576000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138587000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138606000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138617000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138648000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138658000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138689000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138725000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138776000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138780000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.138791000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.138797000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.148705000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.148734000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.149445000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.149460000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.149999000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.150058000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.152765000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.152803000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.153003000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.153041000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.153157000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.153172000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.153620000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.153655000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.153792000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.153808000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.153936000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.153948000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.154094000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.154106000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.154630000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.154645000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.154824000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.154835000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.154963000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.154975000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.155127000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.155142000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.155270000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.155285000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.155413000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.155433000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.155561000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.155573000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.155705000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.155718000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.155849000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.155865000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.156026000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156057000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.156167000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156179000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.156235000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156248000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.156270000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156282000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.156300000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156312000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.156331000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156347000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156365000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156379000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156394000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156411000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156428000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156443000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156462000","1514","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.156505000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.157707000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.157721000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.157844000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.157859000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.157997000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.158010000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.158167000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.158179000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.158313000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.158328000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.158465000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.158480000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.159991000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.160008000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.160150000","5858","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.160162000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.160305000","1514","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0010","1",,,,
"1765235664.160317000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.160715000","7306","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.160769000","4410","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.160830000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.160963000","7306","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.161014000","4410","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.161092000","66","192.168.0.41","192.168.0.4",,,"TCP","50052","80","0x0010","1",,,,
"1765235664.161216000","8754","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
"1765235664.161273000","2962","192.168.0.4","192.168.0.41",,,"TCP","80","50052","0x0018","1",,,,
