switch,port_no,rx_pkts,rx_bytes,rx_drop,rx_errs,tx_pkts,tx_bytes,tx_drop,tx_errs
s16,13,17,1202,0,0,532,49356,0,0
s16,11,17,1202,0,0,534,49636,0,0
s16,10,16,1160,0,0,534,49636,0,0
s16,8,248,7008,0,0,13,1006,0,0
s16,9,17,1202,0,0,536,49642,0,0
s16,5,458,52976,0,0,8340,416177919,0,0
s16,12,17,1202,0,0,532,49356,0,0
s16,14,17,1202,0,0,530,49076,0,0
s16,1,393,51222,4,0,602,60008,0,0
s16,4,8241,416173701,0,0,556,57124,0,0
s16,6,17,1202,0,0,540,50198,0,0
s16,7,17,1202,0,0,538,49920,0,0
s16,2,455,53708,4,0,590,59624,0,0
s16,3,368,49296,0,0,600,59104,0,0
